,filename,filename_id,actual_class,predicted_class,reason
19,2025-01-21_10_14_13_(18757)_sardine_input.jpeg,2025-01-21_10_14_13_(18757)_sardine_input_(2).jpeg,Good,Good,
20,2025-01-21_10_19_34_(18781)_sardine_input.jpeg,2025-01-21_10_19_34_(18781)_sardine_input_(1).jpeg,Good,Good,
21,2025-01-21_10_19_34_(18781)_sardine_input.jpeg,2025-01-21_10_19_34_(18781)_sardine_input_(2).jpeg,Good,Good,
22,2025-01-21_10_15_55_(18765)_sardine_input.jpeg,2025-01-21_10_15_55_(18765)_sardine_input_(1).jpeg,Good,Good,
23,2025-01-21_10_15_55_(18765)_sardine_input.jpeg,2025-01-21_10_15_55_(18765)_sardine_input_(2).jpeg,Good,Good,
24,2025-01-21_10_14_44_(18760)_sardine_input.jpeg,2025-01-21_10_14_44_(18760)_sardine_input_(1).jpeg,Good,Good,
25,2025-01-21_10_14_44_(18760)_sardine_input.jpeg,2025-01-21_10_14_44_(18760)_sardine_input_(2).jpeg,Good,Bad,Softness
26,2025-01-21_10_14_01_(18756)_sardine_input.jpeg,2025-01-21_10_14_01_(18756)_sardine_input_(1).jpeg,Good,Good,
27,2025-01-21_10_14_01_(18756)_sardine_input.jpeg,2025-01-21_10_14_01_(18756)_sardine_input_(2).jpeg,Good,Good,
28,2025-01-21_10_13_40_(18754)_sardine_input.jpeg,2025-01-21_10_13_40_(18754)_sardine_input_(1).jpeg,Good,Good,
29,2025-01-21_10_13_40_(18754)_sardine_input.jpeg,2025-01-21_10_13_40_(18754)_sardine_input_(2).jpeg,Good,Good,
30,2025-01-21_10_15_37_(18763)_sardine_input.jpeg,2025-01-21_10_15_37_(18763)_sardine_input_(1).jpeg,Good,Good,
31,2025-01-21_10_15_37_(18763)_sardine_input.jpeg,2025-01-21_10_15_37_(18763)_sardine_input_(2).jpeg,Good,Good,
32,2025-01-21_10_22_38_(18796)_sardine_input.jpeg,2025-01-21_10_22_38_(18796)_sardine_input_(1).jpeg,Good,Good,
33,2025-01-21_10_22_38_(18796)_sardine_input.jpeg,2025-01-21_10_22_38_(18796)_sardine_input_(2).jpeg,Good,Good,
34,2025-01-21_10_15_46_(18764)_sardine_input.jpeg,2025-01-21_10_15_46_(18764)_sardine_input_(1).jpeg,Good,Good,
35,2025-01-21_10_15_46_(18764)_sardine_input.jpeg,2025-01-21_10_15_46_(18764)_sardine_input_(2).jpeg,Good,Good,
36,2025-01-21_10_16_27_(18768)_sardine_input.jpeg,2025-01-21_10_16_27_(18768)_sardine_input_(1).jpeg,Good,Good,
37,2025-01-21_10_16_27_(18768)_sardine_input.jpeg,2025-01-21_10_16_27_(18768)_sardine_input_(2).jpeg,Good,Good,
38,2025-01-21_10_17_31_(18773)_sardine_input.jpeg,2025-01-21_10_17_31_(18773)_sardine_input_(1).jpeg,Good,Good,
39,2025-01-21_10_17_31_(18773)_sardine_input.jpeg,2025-01-21_10_17_31_(18773)_sardine_input_(2).jpeg,Good,Good,
40,2025-01-21_10_16_54_(18771)_sardine_input.jpeg,2025-01-21_10_16_54_(18771)_sardine_input_(1).jpeg,Good,Good,
41,2025-01-21_10_16_54_(18771)_sardine_input.jpeg,2025-01-21_10_16_54_(18771)_sardine_input_(2).jpeg,Good,Good,
42,2025-01-21_10_14_23_(18758)_sardine_input.jpeg,2025-01-21_10_14_23_(18758)_sardine_input_(1).jpeg,Good,Good,
43,2025-01-21_10_14_23_(18758)_sardine_input.jpeg,2025-01-21_10_14_23_(18758)_sardine_input_(2).jpeg,Good,Good,
44,2025-01-21_10_17_51_(18775)_sardine_input.jpeg,2025-01-21_10_17_51_(18775)_sardine_input_(1).jpeg,Good,Good,
45,2025-01-21_10_17_51_(18775)_sardine_input.jpeg,2025-01-21_10_17_51_(18775)_sardine_input_(2).jpeg,Good,Good,
46,2025-01-21_10_22_49_(18797)_sardine_input.jpeg,2025-01-21_10_22_49_(18797)_sardine_input_(1).jpeg,Good,Good,
47,2025-01-21_10_22_49_(18797)_sardine_input.jpeg,2025-01-21_10_22_49_(18797)_sardine_input_(2).jpeg,Good,Good,
48,2025-01-21_10_16_36_(18769)_sardine_input.jpeg,2025-01-21_10_16_36_(18769)_sardine_input_(1).jpeg,Good,Good,
49,2025-01-21_10_16_36_(18769)_sardine_input.jpeg,2025-01-21_10_16_36_(18769)_sardine_input_(2).jpeg,Good,Good,
50,2025-01-21_10_23_01_(18798)_sardine_input.jpeg,2025-01-21_10_23_01_(18798)_sardine_input_(1).jpeg,Good,Good,
51,2025-01-21_10_23_01_(18798)_sardine_input.jpeg,2025-01-21_10_23_01_(18798)_sardine_input_(2).jpeg,Good,Bad,Softness
52,2025-01-21_10_14_35_(18759)_sardine_input.jpeg,2025-01-21_10_14_35_(18759)_sardine_input_(1).jpeg,Good,Bad,Softness
53,2025-01-21_10_14_35_(18759)_sardine_input.jpeg,2025-01-21_10_14_35_(18759)_sardine_input_(2).jpeg,Good,Good,
54,2025-01-21_10_23_57_(18804)_sardine_input.jpeg,2025-01-21_10_23_57_(18804)_sardine_input_(1).jpeg,Good,Good,
55,2025-01-21_10_23_57_(18804)_sardine_input.jpeg,2025-01-21_10_23_57_(18804)_sardine_input_(2).jpeg,Good,Good,
56,2025-01-21_10_23_36_(18802)_sardine_input.jpeg,2025-01-21_10_23_36_(18802)_sardine_input_(1).jpeg,Good,Good,
57,2025-01-21_10_23_36_(18802)_sardine_input.jpeg,2025-01-21_10_23_36_(18802)_sardine_input_(2).jpeg,Good,Good,
58,2025-01-21_10_18_32_(18779)_sardine_input.jpeg,2025-01-21_10_18_32_(18779)_sardine_input_(1).jpeg,Good,Good,
59,2025-01-21_10_18_32_(18779)_sardine_input.jpeg,2025-01-21_10_18_32_(18779)_sardine_input_(2).jpeg,Good,Bad,Softness
60,2025-01-21_10_15_14_(18761)_sardine_input.jpeg,2025-01-21_10_15_14_(18761)_sardine_input_(1).jpeg,Good,Good,
61,2025-01-21_10_15_14_(18761)_sardine_input.jpeg,2025-01-21_10_15_14_(18761)_sardine_input_(2).jpeg,Good,Good,
62,2025-01-21_10_15_27_(18762)_sardine_input.jpeg,2025-01-21_10_15_27_(18762)_sardine_input_(1).jpeg,Good,Good,
63,2025-01-21_10_15_27_(18762)_sardine_input.jpeg,2025-01-21_10_15_27_(18762)_sardine_input_(2).jpeg,Good,Good,
64,2025-01-21_10_19_23_(18780)_sardine_input.jpeg,2025-01-21_10_19_23_(18780)_sardine_input_(1).jpeg,Good,Good,
65,2025-01-21_10_19_23_(18780)_sardine_input.jpeg,2025-01-21_10_19_23_(18780)_sardine_input_(2).jpeg,Good,Good,
66,2025-01-21_10_23_46_(18803)_sardine_input.jpeg,2025-01-21_10_23_46_(18803)_sardine_input_(1).jpeg,Good,Good,
67,2025-01-21_10_23_46_(18803)_sardine_input.jpeg,2025-01-21_10_23_46_(18803)_sardine_input_(2).jpeg,Good,Good,
68,2025-01-21_10_16_08_(18766)_sardine_input.jpeg,2025-01-21_10_16_08_(18766)_sardine_input_(1).jpeg,Good,Good,
69,2025-01-21_10_16_08_(18766)_sardine_input.jpeg,2025-01-21_10_16_08_(18766)_sardine_input_(2).jpeg,Good,Good,
70,2025-01-21_10_18_12_(18777)_sardine_input.jpeg,2025-01-21_10_18_12_(18777)_sardine_input_(1).jpeg,Good,Bad,Softness
71,2025-01-21_10_18_12_(18777)_sardine_input.jpeg,2025-01-21_10_18_12_(18777)_sardine_input_(2).jpeg,Good,Bad,Softness
72,2025-01-21_10_16_18_(18767)_sardine_input.jpeg,2025-01-21_10_16_18_(18767)_sardine_input_(1).jpeg,Good,Good,
73,2025-01-21_10_16_18_(18767)_sardine_input.jpeg,2025-01-21_10_16_18_(18767)_sardine_input_(2).jpeg,Good,Bad,Softness
74,2025-01-21_10_23_11_(18799)_sardine_input.jpeg,2025-01-21_10_23_11_(18799)_sardine_input_(1).jpeg,Good,Good,
75,2025-01-21_10_23_11_(18799)_sardine_input.jpeg,2025-01-21_10_23_11_(18799)_sardine_input_(2).jpeg,Good,Good,
76,2025-01-21_10_18_22_(18778)_sardine_input.jpeg,2025-01-21_10_18_22_(18778)_sardine_input_(1).jpeg,Good,Good,
77,2025-01-21_10_18_22_(18778)_sardine_input.jpeg,2025-01-21_10_18_22_(18778)_sardine_input_(2).jpeg,Good,Good,
78,2025-01-21_10_13_52_(18755)_sardine_input.jpeg,2025-01-21_10_13_52_(18755)_sardine_input_(1).jpeg,Good,Good,
79,2025-01-21_10_13_52_(18755)_sardine_input.jpeg,2025-01-21_10_13_52_(18755)_sardine_input_(2).jpeg,Good,Good,
80,2025-01-21_10_23_27_(18801)_sardine_input.jpeg,2025-01-21_10_23_27_(18801)_sardine_input_(1).jpeg,Good,Bad,Softness
81,2025-01-21_10_23_27_(18801)_sardine_input.jpeg,2025-01-21_10_23_27_(18801)_sardine_input_(2).jpeg,Good,Good,
82,2025-01-21_10_55_37_(18891)_sardine_input.jpeg,2025-01-21_10_55_37_(18891)_sardine_input_(1).jpeg,Good,Good,
83,2025-01-21_10_55_37_(18891)_sardine_input.jpeg,2025-01-21_10_55_37_(18891)_sardine_input_(2).jpeg,Good,Good,
84,2025-01-21_10_59_25_(18917)_sardine_input.jpeg,2025-01-21_10_59_25_(18917)_sardine_input_(1).jpeg,Good,Good,
85,2025-01-21_10_59_25_(18917)_sardine_input.jpeg,2025-01-21_10_59_25_(18917)_sardine_input_(2).jpeg,Good,Good,
86,2025-01-21_10_28_56_(18825)_sardine_input.jpeg,2025-01-21_10_28_56_(18825)_sardine_input_(1).jpeg,Good,Good,
87,2025-01-21_10_28_56_(18825)_sardine_input.jpeg,2025-01-21_10_28_56_(18825)_sardine_input_(2).jpeg,Good,Good,
88,2025-01-21_10_35_32_(18851)_sardine_input.jpeg,2025-01-21_10_35_32_(18851)_sardine_input_(1).jpeg,Good,Bad,Softness
89,2025-01-21_10_35_32_(18851)_sardine_input.jpeg,2025-01-21_10_35_32_(18851)_sardine_input_(2).jpeg,Good,Good,
90,2025-01-21_10_53_08_(18876)_sardine_input.jpeg,2025-01-21_10_53_08_(18876)_sardine_input_(1).jpeg,Good,Good,
91,2025-01-21_10_53_08_(18876)_sardine_input.jpeg,2025-01-21_10_53_08_(18876)_sardine_input_(2).jpeg,Good,Good,
92,2025-01-21_10_55_53_(18893)_sardine_input.jpeg,2025-01-21_10_55_53_(18893)_sardine_input_(1).jpeg,Good,Good,
93,2025-01-21_10_55_53_(18893)_sardine_input.jpeg,2025-01-21_10_55_53_(18893)_sardine_input_(2).jpeg,Good,Good,
94,2025-01-21_10_34_34_(18845)_sardine_input.jpeg,2025-01-21_10_34_34_(18845)_sardine_input_(1).jpeg,Good,Good,
95,2025-01-21_10_34_34_(18845)_sardine_input.jpeg,2025-01-21_10_34_34_(18845)_sardine_input_(2).jpeg,Good,Bad,Softness
96,2025-01-21_10_56_01_(18894)_sardine_input.jpeg,2025-01-21_10_56_01_(18894)_sardine_input_(1).jpeg,Good,Good,
97,2025-01-21_10_56_01_(18894)_sardine_input.jpeg,2025-01-21_10_56_01_(18894)_sardine_input_(2).jpeg,Good,Good,
98,2025-01-21_10_28_22_(18821)_sardine_input.jpeg,2025-01-21_10_28_22_(18821)_sardine_input_(1).jpeg,Good,Good,
99,2025-01-21_10_28_22_(18821)_sardine_input.jpeg,2025-01-21_10_28_22_(18821)_sardine_input_(2).jpeg,Good,Good,
100,2025-01-21_10_27_24_(18815)_sardine_input.jpeg,2025-01-21_10_27_24_(18815)_sardine_input_(1).jpeg,Good,Good,
101,2025-01-21_10_27_24_(18815)_sardine_input.jpeg,2025-01-21_10_27_24_(18815)_sardine_input_(2).jpeg,Good,Good,
102,2025-01-21_10_57_25_(18903)_sardine_input.jpeg,2025-01-21_10_57_25_(18903)_sardine_input_(1).jpeg,Good,Good,
103,2025-01-21_10_57_25_(18903)_sardine_input.jpeg,2025-01-21_10_57_25_(18903)_sardine_input_(2).jpeg,Good,Good,
104,2025-01-21_10_55_46_(18892)_sardine_input.jpeg,2025-01-21_10_55_46_(18892)_sardine_input_(1).jpeg,Good,Good,
105,2025-01-21_10_55_46_(18892)_sardine_input.jpeg,2025-01-21_10_55_46_(18892)_sardine_input_(2).jpeg,Good,Good,
106,2025-01-21_10_56_12_(18895)_sardine_input.jpeg,2025-01-21_10_56_12_(18895)_sardine_input_(1).jpeg,Good,Good,
107,2025-01-21_10_56_12_(18895)_sardine_input.jpeg,2025-01-21_10_56_12_(18895)_sardine_input_(2).jpeg,Good,Good,
108,2025-01-21_10_53_54_(18881)_sardine_input.jpeg,2025-01-21_10_53_54_(18881)_sardine_input_(1).jpeg,Good,Good,
109,2025-01-21_10_53_54_(18881)_sardine_input.jpeg,2025-01-21_10_53_54_(18881)_sardine_input_(2).jpeg,Good,Good,
110,2025-01-21_10_29_49_(18830)_sardine_input.jpeg,2025-01-21_10_29_49_(18830)_sardine_input_(1).jpeg,Good,Good,
111,2025-01-21_10_29_49_(18830)_sardine_input.jpeg,2025-01-21_10_29_49_(18830)_sardine_input_(2).jpeg,Good,Good,
112,2025-01-21_10_57_32_(18904)_sardine_input.jpeg,2025-01-21_10_57_32_(18904)_sardine_input_(1).jpeg,Good,Good,
113,2025-01-21_10_57_32_(18904)_sardine_input.jpeg,2025-01-21_10_57_32_(18904)_sardine_input_(2).jpeg,Good,Good,
114,2025-01-21_10_54_45_(18885)_sardine_input.jpeg,2025-01-21_10_54_45_(18885)_sardine_input_(1).jpeg,Good,Good,
115,2025-01-21_10_54_45_(18885)_sardine_input.jpeg,2025-01-21_10_54_45_(18885)_sardine_input_(2).jpeg,Good,Good,
116,2025-01-21_10_28_12_(18820)_sardine_input.jpeg,2025-01-21_10_28_12_(18820)_sardine_input_(1).jpeg,Good,Bad,Softness
117,2025-01-21_10_28_12_(18820)_sardine_input.jpeg,2025-01-21_10_28_12_(18820)_sardine_input_(2).jpeg,Good,Good,
118,2025-01-21_10_31_06_(18837)_sardine_input.jpeg,2025-01-21_10_31_06_(18837)_sardine_input_(1).jpeg,Good,Good,
119,2025-01-21_10_31_06_(18837)_sardine_input.jpeg,2025-01-21_10_31_06_(18837)_sardine_input_(2).jpeg,Good,Good,
120,2025-01-21_10_24_05_(18805)_sardine_input.jpeg,2025-01-21_10_24_05_(18805)_sardine_input_(1).jpeg,Good,Good,
121,2025-01-21_10_24_05_(18805)_sardine_input.jpeg,2025-01-21_10_24_05_(18805)_sardine_input_(2).jpeg,Good,Good,
122,2025-01-21_10_26_11_(18811)_sardine_input.jpeg,2025-01-21_10_26_11_(18811)_sardine_input_(1).jpeg,Good,Good,
123,2025-01-21_10_26_11_(18811)_sardine_input.jpeg,2025-01-21_10_26_11_(18811)_sardine_input_(2).jpeg,Good,Bad,Softness
124,2025-01-21_10_55_04_(18887)_sardine_input.jpeg,2025-01-21_10_55_04_(18887)_sardine_input_(1).jpeg,Good,Good,
125,2025-01-21_10_55_04_(18887)_sardine_input.jpeg,2025-01-21_10_55_04_(18887)_sardine_input_(2).jpeg,Good,Bad,Softness
126,2025-01-21_10_29_24_(18828)_sardine_input.jpeg,2025-01-21_10_29_24_(18828)_sardine_input_(1).jpeg,Good,Good,
127,2025-01-21_10_29_24_(18828)_sardine_input.jpeg,2025-01-21_10_29_24_(18828)_sardine_input_(2).jpeg,Good,Good,
128,2025-01-21_10_55_21_(18889)_sardine_input.jpeg,2025-01-21_10_55_21_(18889)_sardine_input_(1).jpeg,Good,Good,
129,2025-01-21_10_55_21_(18889)_sardine_input.jpeg,2025-01-21_10_55_21_(18889)_sardine_input_(2).jpeg,Good,Good,
130,2025-01-21_10_58_58_(18914)_sardine_input.jpeg,2025-01-21_10_58_58_(18914)_sardine_input_(1).jpeg,Good,Bad,Softness
131,2025-01-21_10_58_58_(18914)_sardine_input.jpeg,2025-01-21_10_58_58_(18914)_sardine_input_(2).jpeg,Good,Good,
132,2025-01-21_10_54_12_(18882)_sardine_input.jpeg,2025-01-21_10_54_12_(18882)_sardine_input_(1).jpeg,Good,Good,
133,2025-01-21_10_54_12_(18882)_sardine_input.jpeg,2025-01-21_10_54_12_(18882)_sardine_input_(2).jpeg,Good,Good,
134,2025-01-21_10_59_15_(18916)_sardine_input.jpeg,2025-01-21_10_59_15_(18916)_sardine_input_(1).jpeg,Good,Good,
135,2025-01-21_10_59_15_(18916)_sardine_input.jpeg,2025-01-21_10_59_15_(18916)_sardine_input_(2).jpeg,Good,Good,
136,2025-01-21_10_26_21_(18812)_sardine_input.jpeg,2025-01-21_10_26_21_(18812)_sardine_input_(1).jpeg,Good,Good,
137,2025-01-21_10_26_21_(18812)_sardine_input.jpeg,2025-01-21_10_26_21_(18812)_sardine_input_(2).jpeg,Good,Good,
138,2025-01-21_10_58_06_(18908)_sardine_input.jpeg,2025-01-21_10_58_06_(18908)_sardine_input_(1).jpeg,Good,Good,
139,2025-01-21_10_58_06_(18908)_sardine_input.jpeg,2025-01-21_10_58_06_(18908)_sardine_input_(2).jpeg,Good,Bad,Softness
140,2025-01-21_10_58_40_(18912)_sardine_input.jpeg,2025-01-21_10_58_40_(18912)_sardine_input_(1).jpeg,Good,Good,
141,2025-01-21_10_58_40_(18912)_sardine_input.jpeg,2025-01-21_10_58_40_(18912)_sardine_input_(2).jpeg,Good,Good,
142,2025-01-21_10_57_57_(18907)_sardine_input.jpeg,2025-01-21_10_57_57_(18907)_sardine_input_(1).jpeg,Good,Good,
143,2025-01-21_10_57_57_(18907)_sardine_input.jpeg,2025-01-21_10_57_57_(18907)_sardine_input_(2).jpeg,Good,Bad,Softness
144,2025-01-21_10_58_32_(18911)_sardine_input.jpeg,2025-01-21_10_58_32_(18911)_sardine_input_(1).jpeg,Good,Good,
145,2025-01-21_10_58_32_(18911)_sardine_input.jpeg,2025-01-21_10_58_32_(18911)_sardine_input_(2).jpeg,Good,Good,
146,2025-01-21_10_25_04_(18809)_sardine_input.jpeg,2025-01-21_10_25_04_(18809)_sardine_input_(1).jpeg,Good,Good,
147,2025-01-21_10_25_04_(18809)_sardine_input.jpeg,2025-01-21_10_25_04_(18809)_sardine_input_(2).jpeg,Good,Good,
148,2025-01-21_10_58_25_(18910)_sardine_input.jpeg,2025-01-21_10_58_25_(18910)_sardine_input_(1).jpeg,Good,Good,
149,2025-01-21_10_58_25_(18910)_sardine_input.jpeg,2025-01-21_10_58_25_(18910)_sardine_input_(2).jpeg,Good,Good,
150,2025-01-21_10_53_28_(18878)_sardine_input.jpeg,2025-01-21_10_53_28_(18878)_sardine_input_(1).jpeg,Good,Good,
151,2025-01-21_10_53_28_(18878)_sardine_input.jpeg,2025-01-21_10_53_28_(18878)_sardine_input_(2).jpeg,Good,Good,
152,2025-01-21_10_25_13_(18810)_sardine_input.jpeg,2025-01-21_10_25_13_(18810)_sardine_input_(1).jpeg,Good,Bad,Softness
153,2025-01-21_10_25_13_(18810)_sardine_input.jpeg,2025-01-21_10_25_13_(18810)_sardine_input_(2).jpeg,Good,Good,
154,2025-01-21_10_33_54_(18841)_sardine_input.jpeg,2025-01-21_10_33_54_(18841)_sardine_input_(1).jpeg,Good,Bad,Softness
155,2025-01-21_10_33_54_(18841)_sardine_input.jpeg,2025-01-21_10_33_54_(18841)_sardine_input_(2).jpeg,Good,Good,
156,2025-01-21_10_28_38_(18823)_sardine_input.jpeg,2025-01-21_10_28_38_(18823)_sardine_input_(1).jpeg,Good,Good,
157,2025-01-21_10_28_38_(18823)_sardine_input.jpeg,2025-01-21_10_28_38_(18823)_sardine_input_(2).jpeg,Good,Good,
158,2025-01-21_10_35_22_(18850)_sardine_input.jpeg,2025-01-21_10_35_22_(18850)_sardine_input_(1).jpeg,Good,Good,
159,2025-01-21_10_35_22_(18850)_sardine_input.jpeg,2025-01-21_10_35_22_(18850)_sardine_input_(2).jpeg,Good,Bad,Softness
160,2025-01-21_10_29_04_(18826)_sardine_input.jpeg,2025-01-21_10_29_04_(18826)_sardine_input_(1).jpeg,Good,Good,
161,2025-01-21_10_29_04_(18826)_sardine_input.jpeg,2025-01-21_10_29_04_(18826)_sardine_input_(2).jpeg,Good,Good,
162,2025-01-21_10_29_13_(18827)_sardine_input.jpeg,2025-01-21_10_29_13_(18827)_sardine_input_(1).jpeg,Good,Good,
163,2025-01-21_10_29_13_(18827)_sardine_input.jpeg,2025-01-21_10_29_13_(18827)_sardine_input_(2).jpeg,Good,Bad,Softness
164,2025-01-21_10_54_37_(18884)_sardine_input.jpeg,2025-01-21_10_54_37_(18884)_sardine_input_(1).jpeg,Good,Good,
165,2025-01-21_10_54_37_(18884)_sardine_input.jpeg,2025-01-21_10_54_37_(18884)_sardine_input_(2).jpeg,Good,Good,
166,2025-01-21_10_29_33_(18829)_sardine_input.jpeg,2025-01-21_10_29_33_(18829)_sardine_input_(1).jpeg,Good,Good,
167,2025-01-21_10_29_33_(18829)_sardine_input.jpeg,2025-01-21_10_29_33_(18829)_sardine_input_(2).jpeg,Good,Good,
168,2025-01-21_10_30_50_(18835)_sardine_input.jpeg,2025-01-21_10_30_50_(18835)_sardine_input_(1).jpeg,Good,Good,
169,2025-01-21_10_30_50_(18835)_sardine_input.jpeg,2025-01-21_10_30_50_(18835)_sardine_input_(2).jpeg,Good,Good,
170,2025-01-21_10_27_32_(18816)_sardine_input.jpeg,2025-01-21_10_27_32_(18816)_sardine_input_(1).jpeg,Good,Good,
171,2025-01-21_10_27_32_(18816)_sardine_input.jpeg,2025-01-21_10_27_32_(18816)_sardine_input_(2).jpeg,Good,Good,
172,2025-01-21_10_51_00_(18869)_sardine_input.jpeg,2025-01-21_10_51_00_(18869)_sardine_input_(1).jpeg,Good,Good,
173,2025-01-21_10_51_00_(18869)_sardine_input.jpeg,2025-01-21_10_51_00_(18869)_sardine_input_(2).jpeg,Good,Good,
174,2025-01-21_10_30_59_(18836)_sardine_input.jpeg,2025-01-21_10_30_59_(18836)_sardine_input_(1).jpeg,Good,Good,
175,2025-01-21_10_30_59_(18836)_sardine_input.jpeg,2025-01-21_10_30_59_(18836)_sardine_input_(2).jpeg,Good,Good,
176,2025-01-21_10_33_45_(18840)_sardine_input.jpeg,2025-01-21_10_33_45_(18840)_sardine_input_(1).jpeg,Good,Bad,Softness
177,2025-01-21_10_33_45_(18840)_sardine_input.jpeg,2025-01-21_10_33_45_(18840)_sardine_input_(2).jpeg,Good,Good,
178,2025-01-21_10_57_41_(18905)_sardine_input.jpeg,2025-01-21_10_57_41_(18905)_sardine_input_(1).jpeg,Good,Good,
179,2025-01-21_10_57_41_(18905)_sardine_input.jpeg,2025-01-21_10_57_41_(18905)_sardine_input_(2).jpeg,Good,Good,
180,2025-01-21_10_53_36_(18879)_sardine_input.jpeg,2025-01-21_10_53_36_(18879)_sardine_input_(1).jpeg,Good,Good,
181,2025-01-21_10_53_36_(18879)_sardine_input.jpeg,2025-01-21_10_53_36_(18879)_sardine_input_(2).jpeg,Good,Bad,Softness
182,2025-01-21_10_27_41_(18817)_sardine_input.jpeg,2025-01-21_10_27_41_(18817)_sardine_input_(1).jpeg,Good,Good,
183,2025-01-21_10_27_41_(18817)_sardine_input.jpeg,2025-01-21_10_27_41_(18817)_sardine_input_(2).jpeg,Good,Good,
184,2025-01-21_10_35_52_(18853)_sardine_input.jpeg,2025-01-21_10_35_52_(18853)_sardine_input_(1).jpeg,Good,Good,
185,2025-01-21_10_35_52_(18853)_sardine_input.jpeg,2025-01-21_10_35_52_(18853)_sardine_input_(2).jpeg,Good,Bad,Softness
186,2025-01-21_10_24_13_(18806)_sardine_input.jpeg,2025-01-21_10_24_13_(18806)_sardine_input_(1).jpeg,Good,Good,
187,2025-01-21_10_24_13_(18806)_sardine_input.jpeg,2025-01-21_10_24_13_(18806)_sardine_input_(2).jpeg,Good,Bad,Softness
188,2025-01-21_10_28_30_(18822)_sardine_input.jpeg,2025-01-21_10_28_30_(18822)_sardine_input_(1).jpeg,Good,Good,
189,2025-01-21_10_28_30_(18822)_sardine_input.jpeg,2025-01-21_10_28_30_(18822)_sardine_input_(2).jpeg,Good,Bad,Softness
190,2025-01-21_10_52_43_(18873)_sardine_input.jpeg,2025-01-21_10_52_43_(18873)_sardine_input_(1).jpeg,Good,Good,
191,2025-01-21_10_52_43_(18873)_sardine_input.jpeg,2025-01-21_10_52_43_(18873)_sardine_input_(2).jpeg,Good,Good,
192,2025-01-21_10_26_59_(18813)_sardine_input.jpeg,2025-01-21_10_26_59_(18813)_sardine_input_(1).jpeg,Good,Good,
193,2025-01-21_10_26_59_(18813)_sardine_input.jpeg,2025-01-21_10_26_59_(18813)_sardine_input_(2).jpeg,Good,Good,
194,2025-01-21_10_31_16_(18838)_sardine_input.jpeg,2025-01-21_10_31_16_(18838)_sardine_input_(1).jpeg,Good,Good,
195,2025-01-21_10_31_16_(18838)_sardine_input.jpeg,2025-01-21_10_31_16_(18838)_sardine_input_(2).jpeg,Good,Good,
196,2025-01-21_10_34_52_(18847)_sardine_input.jpeg,2025-01-21_10_34_52_(18847)_sardine_input_(1).jpeg,Good,Good,
