,id,type,labels,description,image_url,Filename,Date
18865,51765,white prawns,bad,Size,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20240306110031559_white prawns_bad.jpeg,20240306110031559_white prawns_bad.jpeg,2024-03-06
19330,65610,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20240523100514566_mackerel_bad.jpeg,20240523100514566_mackerel_bad.jpeg,2024-05-23
19888,51766,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20240306110054648_white prawns_bad.jpeg,20240306110054648_white prawns_bad.jpeg,2024-03-06
20444,31584,tiger prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/tiger prawns/bad/20231201113505466_tiger prawns_bad.jpeg,20231201113505466_tiger prawns_bad.jpeg,2023-12-01
20719,31585,tiger prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/tiger prawns/bad/20231201113514825_tiger prawns_bad.jpeg,20231201113514825_tiger prawns_bad.jpeg,2023-12-01
20811,51767,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20240306110105333_white prawns_bad.jpeg,20240306110105333_white prawns_bad.jpeg,2024-03-06
20900,31586,tiger prawns,bad,Cuts and Damage,https://fish-data-collection.s3.ap-south-1.amazonaws.com/tiger prawns/bad/20231201113522783_tiger prawns_bad.jpeg,20231201113522783_tiger prawns_bad.jpeg,2023-12-01
21086,31587,tiger prawns,bad,Cuts and Damage,https://fish-data-collection.s3.ap-south-1.amazonaws.com/tiger prawns/bad/20231201113531350_tiger prawns_bad.jpeg,20231201113531350_tiger prawns_bad.jpeg,2023-12-01
21370,65611,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20240523100524841_mackerel_bad.jpeg,20240523100524841_mackerel_bad.jpeg,2024-05-23
21551,21525,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906120947367_white prawns_bad.jpeg,20230906120947367_white prawns_bad.jpeg,2023-09-06
21555,31588,tiger prawns,bad,"Softness, Cuts and Damage",https://fish-data-collection.s3.ap-south-1.amazonaws.com/tiger prawns/bad/20231201113540759_tiger prawns_bad.jpeg,20231201113540759_tiger prawns_bad.jpeg,2023-12-01
21556,21529,white prawns,good,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/good/20230906121038505_white prawns_good.jpeg,20230906121038505_white prawns_good.jpeg,2023-09-06
21557,21530,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906121053154_white prawns_bad.jpeg,20230906121053154_white prawns_bad.jpeg,2023-09-06
21558,21531,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906121103592_white prawns_bad.jpeg,20230906121103592_white prawns_bad.jpeg,2023-09-06
21559,21532,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906121122994_white prawns_bad.jpeg,20230906121122994_white prawns_bad.jpeg,2023-09-06
21561,21534,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906121142646_white prawns_bad.jpeg,20230906121142646_white prawns_bad.jpeg,2023-09-06
21563,21536,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906121209715_white prawns_bad.jpeg,20230906121209715_white prawns_bad.jpeg,2023-09-06
21564,21537,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906121220566_white prawns_bad.jpeg,20230906121220566_white prawns_bad.jpeg,2023-09-06
21565,21538,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906121238635_white prawns_bad.jpeg,20230906121238635_white prawns_bad.jpeg,2023-09-06
21566,21539,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123200134_white prawns_bad.jpeg,20230906123200134_white prawns_bad.jpeg,2023-09-06
21567,21540,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123212248_white prawns_bad.jpeg,20230906123212248_white prawns_bad.jpeg,2023-09-06
21569,21542,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123230870_white prawns_bad.jpeg,20230906123230870_white prawns_bad.jpeg,2023-09-06
21570,21543,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123243366_white prawns_bad.jpeg,20230906123243366_white prawns_bad.jpeg,2023-09-06
21571,21544,white prawns,bad,"Cuts and Damage, Softness",https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123259509_white prawns_bad.jpeg,20230906123259509_white prawns_bad.jpeg,2023-09-06
21572,21545,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123331451_white prawns_bad.jpeg,20230906123331451_white prawns_bad.jpeg,2023-09-06
21575,21548,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123412232_white prawns_bad.jpeg,20230906123412232_white prawns_bad.jpeg,2023-09-06
21576,21549,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123427407_white prawns_bad.jpeg,20230906123427407_white prawns_bad.jpeg,2023-09-06
21578,21551,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123523631_white prawns_bad.jpeg,20230906123523631_white prawns_bad.jpeg,2023-09-06
21580,21553,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123542718_white prawns_bad.jpeg,20230906123542718_white prawns_bad.jpeg,2023-09-06
21581,21554,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123556553_white prawns_bad.jpeg,20230906123556553_white prawns_bad.jpeg,2023-09-06
21583,21556,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230906123621414_white prawns_bad.jpeg,20230906123621414_white prawns_bad.jpeg,2023-09-06
21677,21647,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20230907093648769_mackerel_bad.jpeg,20230907093648769_mackerel_bad.jpeg,2023-09-07
21678,21648,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20230907093701605_mackerel_bad.jpeg,20230907093701605_mackerel_bad.jpeg,2023-09-07
21679,21649,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20230907093710249_mackerel_bad.jpeg,20230907093710249_mackerel_bad.jpeg,2023-09-07
21680,21650,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20230907093728726_mackerel_bad.jpeg,20230907093728726_mackerel_bad.jpeg,2023-09-07
21681,21651,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20230907093740602_mackerel_bad.jpeg,20230907093740602_mackerel_bad.jpeg,2023-09-07
21682,21652,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20230907093758186_mackerel_bad.jpeg,20230907093758186_mackerel_bad.jpeg,2023-09-07
21683,21653,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20230907093812147_mackerel_bad.jpeg,20230907093812147_mackerel_bad.jpeg,2023-09-07
21712,21681,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907100528935_white prawns_bad.jpeg,20230907100528935_white prawns_bad.jpeg,2023-09-07
21713,21682,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907100546984_white prawns_bad.jpeg,20230907100546984_white prawns_bad.jpeg,2023-09-07
21714,21683,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907100558514_white prawns_bad.jpeg,20230907100558514_white prawns_bad.jpeg,2023-09-07
21715,21684,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907100610437_white prawns_bad.jpeg,20230907100610437_white prawns_bad.jpeg,2023-09-07
21716,21685,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907100953952_white prawns_bad.jpeg,20230907100953952_white prawns_bad.jpeg,2023-09-07
21718,21687,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101030156_white prawns_bad.jpeg,20230907101030156_white prawns_bad.jpeg,2023-09-07
21719,21688,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101042235_white prawns_bad.jpeg,20230907101042235_white prawns_bad.jpeg,2023-09-07
21720,21689,white prawns,bad,Cuts and Damage,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101056796_white prawns_bad.jpeg,20230907101056796_white prawns_bad.jpeg,2023-09-07
21721,21690,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101123280_white prawns_bad.jpeg,20230907101123280_white prawns_bad.jpeg,2023-09-07
21722,21691,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101136469_white prawns_bad.jpeg,20230907101136469_white prawns_bad.jpeg,2023-09-07
21724,21693,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101203889_white prawns_bad.jpeg,20230907101203889_white prawns_bad.jpeg,2023-09-07
21725,21694,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101214258_white prawns_bad.jpeg,20230907101214258_white prawns_bad.jpeg,2023-09-07
21726,21695,white prawns,bad,Cuts and Damage,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101224359_white prawns_bad.jpeg,20230907101224359_white prawns_bad.jpeg,2023-09-07
21727,21696,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101239459_white prawns_bad.jpeg,20230907101239459_white prawns_bad.jpeg,2023-09-07
21728,21697,white prawns,bad,Cuts and Damage,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101252288_white prawns_bad.jpeg,20230907101252288_white prawns_bad.jpeg,2023-09-07
21730,21699,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101436581_white prawns_bad.jpeg,20230907101436581_white prawns_bad.jpeg,2023-09-07
21731,21700,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101448001_white prawns_bad.jpeg,20230907101448001_white prawns_bad.jpeg,2023-09-07
21734,21703,white prawns,bad,Cuts and Damage,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101528581_white prawns_bad.jpeg,20230907101528581_white prawns_bad.jpeg,2023-09-07
21736,31589,tiger prawns,bad,Cuts and Damage,https://fish-data-collection.s3.ap-south-1.amazonaws.com/tiger prawns/bad/20231201113556723_tiger prawns_bad.jpeg,20231201113556723_tiger prawns_bad.jpeg,2023-12-01
21737,21705,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101552415_white prawns_bad.jpeg,20230907101552415_white prawns_bad.jpeg,2023-09-07
21740,21708,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101622614_white prawns_bad.jpeg,20230907101622614_white prawns_bad.jpeg,2023-09-07
21741,21709,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101637700_white prawns_bad.jpeg,20230907101637700_white prawns_bad.jpeg,2023-09-07
21744,21712,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101712260_white prawns_bad.jpeg,20230907101712260_white prawns_bad.jpeg,2023-09-07
21745,21713,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101732408_white prawns_bad.jpeg,20230907101732408_white prawns_bad.jpeg,2023-09-07
21746,21714,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101741828_white prawns_bad.jpeg,20230907101741828_white prawns_bad.jpeg,2023-09-07
21747,21715,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907101815508_white prawns_bad.jpeg,20230907101815508_white prawns_bad.jpeg,2023-09-07
21749,21717,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907102515769_white prawns_bad.jpeg,20230907102515769_white prawns_bad.jpeg,2023-09-07
21750,21718,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907102530236_white prawns_bad.jpeg,20230907102530236_white prawns_bad.jpeg,2023-09-07
21752,21720,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907102557363_white prawns_bad.jpeg,20230907102557363_white prawns_bad.jpeg,2023-09-07
21753,21721,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907102617833_white prawns_bad.jpeg,20230907102617833_white prawns_bad.jpeg,2023-09-07
21755,21723,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907102644100_white prawns_bad.jpeg,20230907102644100_white prawns_bad.jpeg,2023-09-07
21756,21724,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907102700573_white prawns_bad.jpeg,20230907102700573_white prawns_bad.jpeg,2023-09-07
21757,21725,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907102725256_white prawns_bad.jpeg,20230907102725256_white prawns_bad.jpeg,2023-09-07
21758,21726,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907102735437_white prawns_bad.jpeg,20230907102735437_white prawns_bad.jpeg,2023-09-07
21759,21727,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230907102736572_white prawns_bad.jpeg,20230907102736572_white prawns_bad.jpeg,2023-09-07
21834,21800,white pomfret,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white pomfret/bad/20230907123644763_white pomfret_bad.jpeg,20230907123644763_white pomfret_bad.jpeg,2023-09-07
21835,21801,white pomfret,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white pomfret/bad/20230907123656020_white pomfret_bad.jpeg,20230907123656020_white pomfret_bad.jpeg,2023-09-07
21915,21879,mackerel,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/mackerel/bad/20230908094216907_mackerel_bad.jpeg,20230908094216907_mackerel_bad.jpeg,2023-09-08
21918,51768,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20240306110116574_white prawns_bad.jpeg,20240306110116574_white prawns_bad.jpeg,2024-03-06
22012,31590,tiger prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/tiger prawns/bad/20231201113609307_tiger prawns_bad.jpeg,20231201113609307_tiger prawns_bad.jpeg,2023-12-01
22130,22090,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230909102447433_white prawns_bad.jpeg,20230909102447433_white prawns_bad.jpeg,2023-09-09
22131,22091,white prawns,bad,"Softness, Red Head in Prawns",https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230909102501311_white prawns_bad.jpeg,20230909102501311_white prawns_bad.jpeg,2023-09-09
22132,22092,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230909103751180_white prawns_bad.jpeg,20230909103751180_white prawns_bad.jpeg,2023-09-09
22133,22093,white prawns,bad,Softness,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230909103808430_white prawns_bad.jpeg,20230909103808430_white prawns_bad.jpeg,2023-09-09
22134,22094,white prawns,bad,Smell,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230909103822604_white prawns_bad.jpeg,20230909103822604_white prawns_bad.jpeg,2023-09-09
22135,22095,white prawns,bad,"Softness, Red Head in Prawns",https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230909103839622_white prawns_bad.jpeg,20230909103839622_white prawns_bad.jpeg,2023-09-09
22136,22096,white prawns,bad,"Red Head in Prawns, Softness",https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230909103852283_white prawns_bad.jpeg,20230909103852283_white prawns_bad.jpeg,2023-09-09
22138,22098,white prawns,bad,Red Head in Prawns,https://fish-data-collection.s3.ap-south-1.amazonaws.com/white prawns/bad/20230909103925061_white prawns_bad.jpeg,20230909103925061_white prawns_bad.jpeg,2023-09-09
